date,date,refeicao,acompanhamento,restaurante,,prato,guarnicao,opcao_vegetal,salada,sobremesa,suco
2025-08-15,15/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,"PUCHERO (CUBOS SUÍNO, LINGUIÇA CALABRESA, CENOURA E GRÃO DE BICO)",VIRADO DE COUVE,,SALADA DE REPOLHO VERDE E ROXO,LARANJA,REFRESCO SABOR GOIABA
2025-08-15,15/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,FEIJÃO BRANCO COM BRÓCOLIS E QUINOA,VIRADO DE COUVE,,SALADA DE REPOLHO VERDE E ROXO,LARANJA,REFRESCO DE GOIABA
2025-08-15,15/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,SOBRECOXA DE FRANGO ASSADA,"LEGUMES À PORTUGUESA (BATATA, CEBOLA EM RODELA, AZEITONA, PIMENTÃO E TOMATE)",,SALADA DE ESCAROLA,ABACAXI EM CALDA,REFRESCO DE GOIABA
2025-08-15,15/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,"ERVILHA TORTA ENSOPADA COM ABÓBORA SECA, PALMITO E CEBOLA","LEGUMES À PORTUGUESA (BATATA, CEBOLA EM RODELA, AZEITONA, PIMENTÃO E TOMATE)",,SALADA DE ESCAROLA,ABACAXI EM CALDA,REFRESCO DE GOIABA
2025-08-14,14/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,FRICASSÊ DE FRANGO,"ARROZ COLORIDO (ERVILHA, MILHO, CENOURA E SALSA)",,SALADA DE BETERRABA RALADA (RS /HC / CAISM) SALADA DE ALFACE (RU/RA),SAGU DE UVA,REFRESCO DE LARANJA
2025-08-14,14/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,FRICASSÊ DE PTS COM BERINJELA,"ARROZ COLORIDO (ERVILHA, MILHO, CENOURA E SALSA)",,SALADA DE BETERRABA RALADA (RS /HC / CAISM) SALADA DE ALFACE (RU/RA),SAGU DE UVA,REFRESCO DE LARANJA
2025-08-14,14/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,PESCADA AO MOLHO DE ERVAS,CHUCHU REFOGADO,,SALADA DE CENOURA RALADA,MELANCIA,REFRESCO DE LARANJA
2025-08-14,14/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,GRÃO DE BICO AO POMODORO,CHUCHU REFOGADO,,SALADA DE CENOURA RALADA,MELANCIA,REFRESCO DE LARANJA
2025-08-13,13/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,PESCADA AO MOLHO DE AZEITONAS,CENOURA NA SALSA,,SALADA DE ALFACE,BANANA,REFRESCO DE ACEROLA
2025-08-13,13/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,SOJA EM GRÃOS ENSOPADA COM QUIABO E TOMATE,CENOURA NA SALSA,,SALADA DE ALFACE,BANANA,REFRESCO DE ACEROLA
2025-08-13,13/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,BIFE AO SUGO,MACARRÃO AO MOLHO MANJERICÃO,,SALADA DE ACELGA COM RÚCULA,LARANJA,REFRESCO DE ACEROLA
2025-08-13,13/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,LENTILHA COM COUVE-FLOR AO VINAGRETE (RA/RS) | PTS COM CENOURA (RU),MACARRÃO INTEGRAL AO MOLHO MANJERICÃO (RA/RS) | REPOLHO REFOGADO (RU),,SALADA DE ACELGA COM RÚCULA,LARANJA,REFRESCO DE ACEROLA
2025-08-12,12/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,SOBRECOXA DE PANELA NA SALSA,BERINJELA AO SUGO,,SALADA DE ESCAROLA COM NABO RALADO,MAÇÃ,REFRESCO DE MORANGO
2025-08-12,12/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,MIX DE LENTILHA E SOJA EM GRÃO COM ABÓBORA CABOTIÃ E TOMATE,BERINJELA AO SUGO,,SALADA DE ESCAROLA COM NABO RALADO,MAÇÃ,REFRESCO DE MORANGO
2025-08-12,12/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,CUBOS SUÍNO AO MOLHO BARBECUE,ABOBRINHA REFOGADA,,"SALADA DE RABANETE, PIMENTÃO E TOMATE",GOIABADA,REFRESCO DE MORANGO
2025-08-12,12/08/2025,Jantar - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,PTS REFOGADA COM BATERRABA,ABOBRINHA REFOGADA,,"SALADA DE RABANETE, PIMENTÃO E TOMATE",GOIABADA,REFRESCO DE MORANGO
2025-08-11,11/08/2025,Almoço - Cardápio Padrão,ARROZ E FEIJÃO,,,CARNE MOÍDA A PRIMAVERA (MILHO E ERVILHA),ANGÚ DE MILHO,,SALADA DE ALFACE,BARRA DE CEREAL,REFRESCO DE MANGA
2025-08-11,11/08/2025,Almoço - Cardápio Vegano,ARROZ INTEGRAL E FEIJÃO,,,PTS COM MILHO E ERVILHA (RU / RA / RS) - HAMBÚRGUER DE SOJA AO SUGO (HC),ANGU DE MILHO,,SALADA DE ALFACE,BARRA DE CEREAL,REFRESCO DE MANGA
2025-08-11,11/08/2025,Jantar - Cardápio Padrão,ARROZ E FEIJÃO,,,FRANGO DESFIADO ACEBOLADO,REPOLHO CORAL (REPOLHO BRANCO E CENOURA RALADA),,SALADA DE BETERRABA RALADA,LARANJA,REFRESCO DE MANGA
