,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/abr.,3959,1378,1834,7171,,3030,824,997,4851
2/abr.,3287,994,1168,5449,,3011,868,1280,5159
3/abr.,4451,1473,2030,7954,,2065,518,604,3187
4/abr.,4582,1456,2198,8236,,2969,883,1054,4906
5/abr.,3906,1234,1479,6619,,2537,626,662,3825
6/abr.,,,2396,2396,,,,957,957
7/abr.,,,1475,1475,,,,,0
8/abr.,4136,1451,2000,7587,,3109,830,1050,4989
9/abr.,4441,1468,2050,7959,,3249,926,1173,5348
10/abr.,3842,1425,2302,7569,,2865,839,1060,4764
11/abr.,3639,1474,1926,7039,,2579,855,972,4406
12/abr.,5026,1315,2253,8594,,2567,662,760,3989
13/abr.,,,2178,2178,,,,977,977
14/abr.,,,1634,1634,,,,,0
15/abr.,3230,901,1096,5227,,2989,789,944,4722
16/abr.,4734,1481,2035,8250,,2065,624,592,3281
17/abr.,4291,1394,2234,7919,,3199,838,1025,5062
18/abr.,4107,1346,1849,7302,,2941,871,1056,4868
19/abr.,3976,1204,1603,6783,,2346,580,639,3565
20/abr.,,,1929,1929,,,,906,906
21/abr.,,,1596,1596,,,,,0
22/abr.,3788,1348,1628,6764,,3183,845,1065,5093
23/abr.,4139,1525,2069,7733,,2881,861,1044,4786
24/abr.,4028,1310,1779,7117,,2680,798,994,4472
25/abr.,4118,1470,2183,7771,,1061,939,1464,3464
26/abr.,2037,618,916,3571,,1609,462,460,2531
27/abr.,,,904,904,,,,805,805
28/abr.,,,1368,1368,,,,,0
29/abr.,4114,1390,2068,7572,,2748,804,983,4535
30/abr.,3848,1267,1757,6872,,2735,818,935,4488
