,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/dez.,,,998,998,,,,,0
2/dez.,2154,860,991,4005,,1282,340,340,1962
3/dez.,1975,718,744,3437,,1518,339,307,2164
4/dez.,2432,951,971,4354,,1546,329,298,2173
5/dez.,1373,407,510,2290,,1407,332,296,2035
6/dez.,2600,911,933,4444,,926,212,165,1303
7/dez.,,,1064,1064,,,,508,508
8/dez.,,,1055,1055,,,,,0
9/dez.,1970,860,762,3592,,1668,387,322,2377
10/dez.,2116,718,826,3660,,695,171,130,996
11/dez.,2078,951,823,3852,,1142,210,239,1591
12/dez.,1105,407,440,1952,,1232,302,251,1785
13/dez.,1471,911,597,2979,,908,186,132,1226
14/dez.,,,736,736,,,,315,315
15/dez.,,,580,580,,,,,0
16/dez.,2218,,4,2222,,899,,,899
17/dez.,2158,,,2158,,914,,,914
18/dez.,1161,,,1161,,981,,,981
19/dez.,1487,,,1487,,450,,,450
20/dez.,1694,,,1694,,,,,0
21/dez.,,,433,433,,,,,0
22/dez.,,,287,287,,,,,0
23/dez.,,,467,467,,,,,0
24/dez.,,,296,296,,,,,0
25/dez.,,,217,217,,,,,0
26/dez.,,,365,365,,,,,0
27/dez.,,,430,430,,,,,0
28/dez.,,,298,298,,,,,0
29/dez.,,,324,324,,,,,0
30/dez.,,,544,544,,,,,0
31/dez.,,,353,353,,,,,0
