,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/fev.,,,1165,1165,,,,356,356
2/fev.,,,977,977,,,,,0
3/fev.,1720,560,638,2918,,1049,324,287,1660
4/fev.,1839,626,652,3117,,1071,294,263,1628
5/fev.,2068,669,783,3520,,851,269,252,1372
6/fev.,1824,644,636,3104,,1027,270,275,1572
7/fev.,1283,408,22,1713,,984,261,24,1269
8/fev.,,,996,996,,,,279,279
9/fev.,,,998,998,,,,,0
10/fev.,1839,689,723,3251,,836,299,262,1397
11/fev.,1806,600,620,3026,,1075,385,305,1765
12/fev.,1807,718,717,3242,,958,315,255,1528
13/fev.,1877,665,718,3260,,800,240,203,1243
14/fev.,1474,474,538,2486,,975,287,291,1553
15/fev.,,,1173,1173,,,,444,444
16/fev.,,,867,867,,,,,0
17/fev.,1400,468,551,2419,,1126,373,301,1800
18/fev.,1977,704,722,3403,,1072,327,268,1667
19/fev.,2203,808,823,3834,,1071,365,311,1747
20/fev.,1830,716,692,3238,,1125,347,301,1773
21/fev.,1385,426,481,2292,,1142,375,363,1880
22/fev.,,,1293,1293,,,,309,309
23/fev.,,,1429,1429,,,,,0
24/fev.,3534,1181,1564,6279,,2128,591,633,3352
25/fev.,3275,1221,1300,5796,,2581,832,766,4179
26/fev.,3566,1310,1653,6529,,2336,691,587,3614
27/fev.,3527,1287,1616,6430,,2202,614,608,3424
28/fev.,2801,908,1114,4823,,1797,508,477,2782
