,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/jan.,,,,0,,,,,0
2/jan.,870,142,0,1.012,,400,50,0,450
3/jan.,1.069,207,0,1.276,,482,72,0,554
4/jan.,1.177,208,0,1.385,,608,83,0,691
5/jan.,1.154,261,0,1.415,,478,71,0,549
6/jan.,,,,0,,,,,0
7/jan.,,,,0,,,,,0
8/jan.,1.503,356,0,1.859,,749,114,0,863
9/jan.,1.638,416,0,2.054,,892,144,0,1036
10/jan.,1.557,399,0,1.956,,852,168,0,1020
11/jan.,1.559,381,0,1.940,,810,162,0,972
12/jan.,1.308,348,0,1.656,,702,130,0,832
13/jan.,,,,0,,,,,0
14/jan.,,,,0,,,,,0
15/jan.,1.922,546,0,2.468,,958,223,0,1181
16/jan.,1.897,542,0,2.439,,995,263,0,1258
17/jan.,1.420,424,0,1.844,,1044,273,0,1317
18/jan.,1.952,659,0,2.611,,712,175,0,887
19/jan.,1.933,620,0,2.553,,705,173,0,878
20/jan.,,,,0,,,,,0
21/jan.,,,,0,,,,,0
22/jan.,2.211,671,0,2.882,,1178,294,0,1472
23/jan.,2.035,643,0,2.678,,1242,313,0,1555
24/jan.,2.346,739,0,3.085,,1328,352,0,1680
25/jan.,1.583,473,0,2.056,,1085,322,0,1407
26/jan.,2.030,634,0,2.664,,628,158,0,786
27/jan.,,,,0,,,,,0
28/jan.,,,,0,,,,,0
29/jan.,1.660,553,0,2.213,,1288,348,0,1636
30/jan.,2.475,853,0,3.328,,898,238,0,1136
31/jan.,2.260,703,0,2.963,,1090,291,0,1381
