,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/jan.,,,199,199,,,,,0
2/jan.,,,778,778,,,,271,271
3/jan.,,,658,658,,,,286,286
4/jan.,,,497,497,,,,339,339
5/jan.,,,611,611,,,,,0
6/jan.,,,1412,1412,,,,714,714
7/jan.,,,1629,1629,,,,692,692
8/jan.,,,1550,1550,,,,737,737
9/jan.,,,1576,1576,,,,765,765
10/jan.,,,1174,1174,,,,492,492
11/jan.,,,578,578,,,,461,461
12/jan.,,,713,713,,,,,0
13/jan.,,,1963,1963,,,,853,853
14/jan.,,,1984,1984,,,,917,917
15/jan.,,,1992,1992,,,,656,656
16/jan.,,,1965,1965,,,,741,741
17/jan.,,,1713,1713,,,,715,715
18/jan.,,,864,864,,,,451,451
19/jan.,,,883,883,,,,,0
20/jan.,1563,342,813,2718,,857,170,270,1297
21/jan.,1630,402,828,2860,,838,146,400,1384
22/jan.,1837,469,853,3159,,755,195,326,1276
23/jan.,1647,445,702,2794,,906,211,252,1369
24/jan.,1278,336,559,2173,,1031,223,399,1653
25/jan.,1030,,,1030,,359,,,359
26/jan.,,,943,943,,,,,0
27/jan.,1572,515,732,2819,,907,237,357,1501
28/jan.,1778,569,831,3178,,884,0,320,1204
29/jan.,,,,0,,,,,0
30/jan.,1612,545,886,3043,,965,235,309,1509
31/jan.,1632,613,713,2958,,714,219,255,1188
