,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/jul.,2432,725,762,3919,,1616,436,328,2380
2/jul.,2281,705,765,3751,,1569,401,296,2266
3/jul.,2739,780,787,4306,,1330,349,299,1978
4/jul.,2420,634,642,3696,,1460,365,260,2085
5/jul.,1638,447,373,2458,,1120,262,154,1536
6/jul.,,,935,935,,,,514,514
7/jul.,,,818,818,,,,,0
8/jul.,,,1418,1418,,,,821,821
9/jul.,,,1247,1247,,,,,0
10/jul.,1747,627,695,3069,,1187,342,276,1805
11/jul.,1860,669,724,3253,,1205,322,259,1786
12/jul.,1686,613,597,2896,,786,206,124,1116
13/jul.,,,805,805,,,,510,510
14/jul.,,,645,645,,,,,0
15/jul.,1738,570,579,2887,,1105,266,217,1588
16/jul.,1824,634,561,3019,,1109,271,200,1580
17/jul.,1176,356,329,1861,,1106,234,163,1503
18/jul.,1684,542,526,2752,,851,166,147,1164
19/jul.,1970,518,642,3130,,870,194,137,1201
20/jul.,,,785,785,,,,400,400
21/jul.,,,644,644,,,,,0
22/jul.,1426,593,525,2544,,665,150,118,933
23/jul.,1795,617,564,2976,,1075,222,182,1479
24/jul.,1659,576,511,2746,,1156,327,179,1662
25/jul.,1857,606,526,2989,,998,221,141,1360
26/jul.,1916,612,639,3167,,896,204,119,1219
27/jul.,,,966,966,,,,596,596
28/jul.,,,718,718,,,,,0
29/jul.,1919,643,539,3101,,1346,326,234,1906
30/jul.,2271,709,658,3638,,1780,457,337,2574
31/ago.,2387,784,635,3806,,952,197,157,1306
