,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/jun.,,,1376,1376,,,,0,0
2/jun.,2902,932,1138,4972,,2887,785,912,4584
3/jun.,4029,1474,1696,7199,,3147,879,1301,5327
4/jun.,4064,1334,1826,7224,,2521,785,845,4151
5/jun.,3920,1332,1873,7125,,1832,551,577,2960
6/jun.,3520,1238,1401,6159,,2139,541,565,3245
7/jun.,,,1759,1759,,,,976,976
8/jun.,,,1453,1453,,,,0,0
9/jun.,4020,1367,1920,7307,,2706,768,933,4407
10/jun.,2824,926,1160,4910,,2564,807,989,4360
11/jun.,3803,1392,1931,7126,,2401,677,874,3952
12/jun.,3469,1330,1585,6384,,1996,599,724,3319
13/jun.,3555,1185,1494,6234,,1077,289,326,1692
14/jun.,,,1609,1609,,,,712,712
15/jun.,,,1374,1374,,,,0,0
16/jun.,3789,1339,1820,6948,,2655,789,891,4335
17/jun.,3838,1303,1707,6848,,2448,725,889,4062
18/jun.,2124,596,735,3455,,1925,546,509,2980
19/jun.,,,1807,1807,,,,0,0
20/jun.,,,1505,1505,,,,1161,1161
21/jun.,,,1801,1801,,,,778,778
22/jun.,,,1096,1096,,,,0,0
23/jun.,3291,1141,1459,5891,,2334,630,682,3646
24/jun.,3684,1290,1566,6540,,2728,783,1023,4534
25/jun.,3659,1241,1699,6599,,2386,649,726,3761
26/jun.,3911,1198,1616,6725,,1466,408,422,2296
27/jun.,3866,1186,1703,6755,,2012,508,547,3067
28/jun.,,,1686,1686,,,,1094,1094
29/jun.,,,1662,1662,,,,0,0
30/jun.,3067,1096,1257,5420,,2312,625,662,3599
