,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/mai.,,,612,612,,,,0,0
2/mai.,,,1044,1044,,,,349,349
3/mai.,,,951,951,,,,517,517
4/mai.,,,857,857,,,,0,0
5/mai.,3703,1221,1658,6582,,2907,756,912,4575
6/mai.,4224,1482,2056,7762,,2615,888,1047,4550
7/mai.,3841,1308,1773,6922,,2865,853,1018,4736
8/mai.,2549,799,953,4301,,2711,878,1061,4650
9/mai.,4126,1284,1987,7397,,2074,561,646,3281
10/mai.,,,1595,1595,,,,344,344
11/mai.,,,890,890,,,,0,0
12/mai.,3691,1266,1709,6666,,2715,745,960,4420
13/mai.,4255,1370,2041,7666,,2702,785,1162,4649
14/mai.,4184,1367,1886,7437,,3267,877,1173,5317
15/mai.,4278,1375,1978,7631,,2793,810,948,4551
16/mai.,3429,1162,1458,6049,,2636,751,815,4202
17/mai.,,,1144,1144,,,,865,865
18/mai.,,,1881,1881,,,,0,0
19/mai.,3577,1189,1551,6317,,2998,867,1117,4982
20/mai.,4123,1458,1907,7488,,2440,612,736,3788
21/mai.,4073,1309,1799,7181,,2670,854,1026,4550
22/mai.,4038,1318,1802,7158,,2488,699,842,4029
23/mai.,3698,1265,1692,6655,,2046,597,590,3233
24/mai.,,,2104,2104,,,,1079,1079
25/mai.,,,1752,1752,,,,0,0
26/mai.,3709,1283,1752,6744,,2033,507,618,3158
27/mai.,4216,1445,1970,7631,,3017,865,1300,5182
28/mai.,4153,1457,2008,7618,,2695,731,890,4316
29/mai.,3917,1369,1927,7213,,2791,901,1103,4795
30/mai.,4333,1318,1894,7545,,2220,585,623,3428
31/mai.,,,1677,1677,,,,729,729
