,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/mar.,,,952,952,,,,404,404
2/mar.,,,1072,1072,,,,,0
3/mar.,,,1354,1354,,,,592,592
4/mar.,,,1366,1366,,,,570,570
5/mar.,,,2078,2078,,,,940,940
6/mar.,3599,1124,1445,6168,,2575,762,782,4119
7/mar.,2428,635,802,3865,,2537,701,760,3998
8/mar.,,,1749,1749,,,,543,543
9/mar.,,,1873,1873,,,,,0
10/mar.,4293,1321,2078,7692,,2619,708,898,4225
11/mar.,4357,1421,1868,7646,,2830,919,1241,4990
12/mar.,4304,1501,2004,7809,,2831,857,958,4646
13/mar.,4146,1363,2070,7579,,2688,768,890,4346
14/mar.,3833,1147,1657,6637,,2776,761,986,4523
15/mar.,,,1210,1210,,,,573,573
16/mar.,,,1564,1564,,,,,0
17/mar.,4099,1296,1766,7161,,3214,887,1063,5164
18/mar.,4121,1453,2010,7584,,4121,1453,2010,7584
19/mar.,4891,1252,2192,8335,,3417,926,1376,5719
20/mar.,4288,1383,1849,7520,,3124,802,1011,4937
21/mar.,2538,693,955,4186,,2260,590,686,3536
22/mar.,,,1619,1619,,,,449,449
23/mar.,,,1846,1846,,,,,0
24/mar.,4550,1347,1948,7845,,3085,822,1061,4968
25/mar.,4267,1336,1906,7509,,3868,947,1424,6239
26/mar.,4552,1387,1873,7812,,3072,774,974,4820
27/mar.,4402,1368,1906,7676,,2722,781,810,4313
28/mar.,3703,1128,1632,6463,,2615,701,739,4055
29/mar.,,,1977,1977,,,,772,772
30/mar.,,,1873,1873,,,,,0
31/mar.,4165,1312,1918,7395,,3008,766,990,4764
