,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/nov.,3142,1109,1237,5488,,1793,432,417,2642
2/nov.,,,1398,1398,,,,776,776
3/nov.,,,1219,1219,,,,,0
4/nov.,2116,721,844,3681,,2594,735,825,4154
5/nov.,3792,1419,1792,7003,,2329,690,764,3783
6/nov.,3436,1209,1671,6316,,2489,709,842,4040
7/nov.,3711,1319,1632,6662,,2356,682,644,3682
8/nov.,3187,1030,1282,5499,,1852,418,450,2720
9/nov.,,,1457,1457,,,,428,428
10/nov.,,,1335,1335,,,,,0
11/nov.,3376,1245,1420,6041,,2801,844,999,4644
12/nov.,3819,1313,1702,6834,,2514,689,774,3977
13/nov.,2053,707,843,3603,,2582,710,846,4138
14/nov.,3406,1196,1541,6143,,1728,409,523,2660
15/nov.,,,1220,1220,,,,563,563
16/nov.,,,1054,1054,,,,412,412
17/nov.,,,644,644,,,,,0
18/nov.,3441,1171,1391,6003,,1463,415,383,2261
19/nov.,3513,1319,1734,6566,,2383,761,788,3932
20/nov.,,,2197,2197,,,,918,918
21/nov.,3295,1216,1588,6099,,2187,648,683,3518
22/nov.,3225,1066,1308,5599,,1765,453,446,2664
23/nov.,4764,,,4764,,,,1212,1212
24/nov.,,,,0,,,,,0
25/nov.,3323,1238,1225,5786,,1493,407,464,2364
26/nov.,3727,1334,1251,6312,,2178,602,677,3457
27/nov.,3371,1133,1323,5827,,2586,663,796,4045
28/nov.,2878,1088,1869,5835,,1679,485,522,2686
29/nov.,2654,928,1020,4602,,1606,319,322,2247
30/nov.,,,1369,1369,,,,494,494
