,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/out.,3910,1360,1823,7093,,2847,824,830,4501
2/out.,3584,1203,1495,6282,,2588,657,834,4079
3/out.,2908,1096,1325,5329,,2215,663,670,3548
4/out.,1763,553,605,2921,,1637,440,382,2459
5/out.,,,1582,1582,,,,515,515
6/out.,,,862,862,,,,,0
7/out.,3186,1211,1306,5703,,2613,747,805,4165
8/out.,2208,714,953,3875,,2883,858,977,4718
9/out.,3956,1382,1887,7225,,1605,431,476,2512
10/out.,2853,1321,1676,5850,,2667,802,876,4345
11/out.,3304,1115,1276,5695,,1463,365,336,2164
12/out.,,,1323,1323,,,,674,674
13/out.,,,1100,1100,,,,,0
14/out.,3527,1250,1487,6264,,2563,733,871,4167
15/out.,2817,958,1203,4978,,2164,574,648,3386
16/out.,3660,1241,1717,6618,,2222,631,716,3569
17/out.,2098,743,937,3778,,2629,852,910,4391
18/out.,3190,1062,1336,5588,,1016,267,311,1594
19/out.,,,1392,1392,,,,632,632
20/out.,,,1114,1114,,,,,0
21/out.,3411,1318,1513,6242,,2333,677,723,3733
22/out.,3673,1373,1791,6837,,2686,870,945,4501
23/out.,3592,1247,1631,6470,,2762,766,858,4386
24/out.,2086,766,830,3682,,2222,688,756,3666
25/out.,2917,1011,1108,5036,,899,245,274,1418
26/out.,,,1162,1162,,,,482,482
27/out.,,,1476,1476,,,,,0
28/out.,,,2286,2286,,,,829,829
29/out.,3533,1342,1698,6573,,3000,859,1.075,4.934
30/out.,3625,1322,1551,6498,,2536,737,718,3991
31/out.,3460,1333,1706,6499,,2435,754,678,3867
