RU,,,,,,,RS,,,,,
Data,Período da Refeição, Grupo 1, Grupo 2, Grupo 3, Grupo 4,,Data,Período da Refeição, Grupo 1, Grupo 2, Grupo 3, Grupo 4
,,Arroz e Feijão,Guarnição,Saladas,Prato Principal,,,,Arroz e Feijão,Guarnição,Saladas,Prato Principal
01/04,A,185,54,78,406,,01/04,A,0,0,0,333
,J,96,360,78,624,,,J,0,0,0,324
02/04,A,510,636,144,1293,,02/04,A,0,0,0,319
,J,276,168,184,966,,,J,0,0,0,145
03/04,A,416,578,358,874,,03/04,A,0,0,0,1056
,J,137,16,71,724,,,J,0,0,0,194
04/04,A,90,86,56,303,,04/04,A,0,0,0,338
,J,154,41,49,458,,,J,0,0,0,193
05/04,A,0,0,0,0,,05/04,A,0,0,0,588
,J,0,0,0,0,,,J,0,0,0,174
06/04,A,0,0,0,0,,06/04,A,0,0,0,541
,J,0,0,0,0,,,J,0,0,0,0
07/04,A,212,20,126,650,,07/04,A,0,0,0,419
,J,177,147,131,555,,,J,0,0,0,430
08/04,A,120,334,89,701,,08/04,A,0,11,25,732
,J,145,170,63,554,,,J,61,83,27,245
09/04,A,157,109,62,605,,09/04,A,60,67,26,290
,J,214,387,69,630,,,J,121,264,57,419
10/04,A,248,127,124,972,,10/04,A,93,56,41,296
,J,144,149,56,519,,,J,68,52,18,210
11/04,A,156,168,67,524,,11/04,A,93,108,46,343
,J,131,191,75,506,,,J,21,49,20,101
12/04,A,0,0,0,0,,12/04,A,85,53,56,220
,J,0,0,0,0,,,J,54,126,46,234
13/04,A,0,0,0,0,,13/04,A,165,303,79,454
,J,0,0,0,0,,,J,0,0,0,0
14/04,A,103,76,48,385,,14/04,A,46,54,26,228
,J,214,34,86,699,,,J,51,6,25,247
15/04,A,311,711,98,833,,15/04,A,145,359,46,441
,J,184,113,139,662,,,J,49,74,41,250
16/04,A,155,136,42,470,,16/04,A,87,79,29,342
,J,142,52,63,423,,,J,48,14,19,125
17/04,A,0,0,0,0,,17/04,A,168,95,71,536
,J,0,0,0,0,,,J,78,19,29,162
18/04,A,0,0,0,0,,18/04,A,70,36,24,137
,J,0,0,0,0,,,J,0,0,0,0
19/04,A,0,0,0,0,,19/04,A,113,114,39,262
,J,0,0,0,0,,,J,38,114,21,170
20/04,A,0,0,0,0,,20/04,A,129,68,51,276
,J,0,0,0,0,,,J,0,0,0,0
21/04,A,0,0,0,0,,21/04,A,91,28,32,180
,J,0,0,0,0,,,J,40,95,24,117
22/04,A,0,0,127,577,,22/04,A,118,140,58,381
,J,239,46,68,632,,,J,90,20,28,349
23/04,A,235,52,88,726,,23/04,A,124,56,46,377
,J,194,347,75,607,,,J,112,127,39,280
24/04,A,170,79,63,549,,24/04,A,116,64,33,397
,J,129,10,64,422,,,J,50,10,22,176
25/04,A,404,354,128,1144,,25/04,A,88,123,43,290
,J,128,146,68,389,,,J,46,67,20,111
26/04,A,242,216,109,926,,26/04,A,0,0,0,0
,J,101,28,35,286,,,J,0,0,0,0
27/04,A,187,146,83,588,,27/04,A,0,0,0,0
,J,0,0,0,0,,,J,0,0,0,0
28/04,A,156,18,55,548,,28/04,A,72,17,27,268
,J,211,58,79,578,,,J,68,28,28,278
29/04,A,176,332,93,557,,29/04,A,122,251,70,369
,J,109,76,61,451,,,J,52,41,26,205
30/04,A,140,53,55,404,,30/04,A,91,45,39,252
,J,150,125,43,490,,,J,40,43,13,150
