RU,,,,,,,RS,,,,,
Data,Período da Refeição, Grupo 1, Grupo 2, Grupo 3, Grupo 4,,Data,Período da Refeição, Grupo 1, Grupo 2, Grupo 3, Grupo 4
,,Arroz e Feijão,Guarnição,Saladas,Prato Principal,,,,Arroz e Feijão,Guarnição,Saladas,Prato Principal
01/06,A,0,0,0,0,,01/06,A,155,234,82,578
,J,0,0,0,0,,,J,0,0,0,0
02/06,A,172,81,81,454,,02/06,A,54,43,44,143
,J,269,100,83,826,,,J,78,45,21,288
03/06,A,198,117,76,574,,03/06,A,107,73,31,419
,J,232,73,84,773,,,J,70,45,38,476
04/06,A,173,37,74,575,,04/06,A,118,39,46,357
,J,168,208,63,608,,,J,56,71,29,188
05/06,A,107,279,60,525,,05/06,A,77,204,45,363
,J,107,28,31,349,,,J,35,28,11,152
06/06,A,146,40,47,384,,06/06,A,78,27,41,268
,J,189,35,61,625,,,J,73,29,18,226
07/06,A,0,0,0,0,,07/06,A,160,131,73,559
,J,0,0,0,0,,,J,125,135,61,521
08/06,A,0,0,0,0,,08/06,A,112,190,57,401
,J,0,0,0,0,,,J,0,0,0,0
09/06,A,333,494,115,861,,09/06,A,180,400,80,580
,J,118,17,54,478,,,J,37,8,20,176
10/06,A,100,95,66,411,,10/06,A,49,78,25,191
,J,198,31,70,489,,,J,87,30,41,321
11/06,A,163,155,57,477,,11/06,A,82,57,36,330
,J,142,49,67,493,,,J,61,26,25,235
12/06,A,134,192,83,543,,12/06,A,71,145,50,277
,J,106,191,43,321,,,J,48,130,25,167
13/06,A,224,222,44,772,,13/06,A,86,86,25,348
,J,42,45,25,149,,,J,17,9,4,59
14/06,A,0,0,0,0,,14/06,A,161,106,109,495
,J,0,0,0,0,,,J,49,64,38,176
15/06,A,0,0,0,0,,15/06,A,154,73,58,374
,J,0,0,0,0,,,J,0,0,0,0
16/06,A,170,52,95,629,,16/06,A,94,46,54,461
,J,144,171,56,442,,,J,30,49,16,100
17/06,A,174,157,65,529,,17/06,A,112,149,48,465
,J,151,59,85,503,,,J,70,29,25,310
18/06,A,66,44,39,212,,18/06,A,52,32,44,108
,J,97,223,37,338,,,J,15,89,17,141
19/06,A,0,0,0,0,,19/06,A,171,245,71,552
,J,0,0,0,0,,,J,0,0,0,0
20/06,A,0,0,0,0,,20/06,A,118,90,56,341
,J,0,0,0,0,,,J,65,172,45,465
21/06,A,0,0,0,0,,21/06,A,233,460,89,658
,J,0,0,0,0,,,J,54,74,38,284
22/06,A,0,0,0,0,,22/06,A,152,78,64,426
,J,0,0,0,0,,,J,0,0,0,0
23/06,A,98,77,62,359,,23/06,A,63,73,38,237
,J,137,98,50,438,,,J,41,39,20,137
24/06,A,153,110,63,500,,24/06,A,74,99,39,424
,J,198,259,95,525,,,J,77,154,47,302
25/06,A,248,232,94,650,,25/06,A,95,161,50,363
,J,111,91,55,383,,,J,34,35,18,161
26/06,A,120,9,44,339,,26/06,A,78,11,37,196
,J,75,30,40,228,,,J,21,11,13,60
27/06,A,497,121,51,697,,27/06,A,263,133,2,415
,J,259,94,0,380,,,J,41,58,0,102
28/06,A,0,0,0,0,,28/06,A,150,183,104,501
,J,0,0,0,0,,,J,136,63,41,421
29/06,A,0,0,0,0,,29/06,A,161,119,52,481
,J,0,0,0,0,,,J,0,0,0,0
30/06,A,153,136,55,434,,30/06,A,158,186,80,602
,J,127,66,54,374,,,J,47,30,24,158
