RU,,,,,,,RS,,,,,
Data,Período da Refeição, Grupo 1, Grupo 2, Grupo 3, Grupo 4,,Data,Período da Refeição, Grupo 1, Grupo 2, Grupo 3, Grupo 4
,,Arroz e Feijão,Guarnição,Saladas,Prato Principal,,,,Arroz e Feijão,Guarnição,Saladas,Prato Principal
01/05,A,0,0,0,0,,01/05,A,123,110,74,229
,J,0,0,0,0,,,J,0,0,0,0
02/05,A,0,0,0,0,,02/05,A,174,85,80,495
,J,0,0,0,0,,,J,25,40,21,165
03/05,A,0,0,0,0,,03/05,A,214,232,99,655
,J,0,0,0,0,,,J,81,89,49,211
04/05,A,0,0,0,0,,04/05,A,97,201,72,398
,J,0,0,0,0,,,J,0,0,0,0
05/05,A,173,45,66,556,,05/05,A,89,52,40,451
,J,213,51,82,625,,,J,104,64,48,282
06/05,A,270,187,105,972,,06/05,A,109,143,62,510
,J,146,191,54,546,,,J,62,139,28,269
07/05,A,174,52,52,516,,07/05,A,76,55,38,380
,J,124,67,78,510,,,J,37,24,30,115
08/05,A,89,75,51,322,,08/05,A,55,58,36,216
,J,121,304,55,605,,,J,31,155,26,271
09/05,A,518,231,3,664,,09/05,A,330,153,37,419
,J,225,160,2,374,,,J,57,38,2,66
10/05,A,0,0,0,0,,10/05,A,123,133,47,381
,J,0,0,0,0,,,J,45,31,18,107
11/05,A,0,0,0,0,,11/05,A,111,37,57,216
,J,0,0,0,0,,,J,0,0,0,0
12/05,A,142,12,54,411,,12/05,A,39,79,31,319
,J,181,140,81,602,,,J,84,80,27,338
13/05,A,142,292,115,678,,13/05,A,101,204,88,468
,J,148,220,51,532,,,J,67,64,31,264
14/05,A,170,51,62,617,,14/05,A,122,57,44,470
,J,190,217,89,769,,,J,121,47,29,484
15/05,A,250,129,112,867,,15/05,A,111,56,52,529
,J,129,155,68,459,,,J,51,55,21,173
16/05,A,156,147,64,450,,16/05,A,95,127,35,336
,J,320,482,113,707,,,J,122,214,27,254
17/05,A,0,0,0,0,,17/05,A,70,39,52,218
,J,0,0,0,0,,,J,64,138,53,216
18/05,A,0,0,0,0,,18/05,A,174,441,80,432
,J,0,0,0,0,,,J,0,0,0,0
19/05,A,84,88,60,357,,19/05,A,58,70,27,259
,J,191,15,58,635,,,J,28,63,26,349
20/05,A,413,604,84,510,,20/05,A,282,524,90,635
,J,132,32,62,435,,,J,36,21,20,138
21/05,A,159,56,55,540,,21/05,A,82,39,22,315
,J,173,82,74,554,,,J,62,27,20,127
22/05,A,217,66,115,678,,22/05,A,91,34,50,352
,J,126,69,47,521,,,J,74,38,32,212
23/05,A,110,173,50,433,,23/05,A,124,362,68,634
,J,137,65,77,528,,,J,33,24,25,115
24/05,A,0,0,0,0,,24/05,A,219,171,87,499
,J,0,0,0,0,,,J,69,171,39,297
25/05,A,0,0,0,0,,25/05,A,69,46,40,168
,J,0,0,0,0,,,J,0,0,0,0
26/05,A,139,26,61,406,,26/05,A,109,39,42,422
,J,122,69,44,671,,,J,38,30,20,169
27/05,A,191,364,145,665,,27/05,A,110,271,74,443
,J,192,59,69,655,,,J,76,30,24,339
28/05,A,218,202,67,736,,28/05,A,122,118,32,464
,J,248,37,101,745,,,J,88,39,37,266
29/05,A,192,84,48,520,,29/05,A,80,51,27,294
,J,169,237,82,551,,,J,95,151,32,268
30/05,A,541,140,1,769,,30/05,A,335,192,15,424
,J,312,80,54,503,,,J,105,50,1,146
31/05,A,0,0,0,0,,31/05,A,127,100,70,506
,J,0,0,0,0,,,J,85,39,39,215
