,ALMOÇO,,,,,JANTAR,,,
,RU,RA,RS,TOTAL,,RU,RA,RS,TOTAL
1/set.,,,1420,1420,,,,,0
2/set.,3745,1303,1499,6547,,2771,783,843,4397
3/set.,4221,1393,1857,7471,,2788,800,885,4473
4/set.,2375,672,841,3888,,2907,719,912,4538
5/set.,4559,1439,2053,8051,,3459,893,1074,5426
6/set.,3439,1058,1230,5727,,1940,486,485,2911
7/set.,,,1326,1326,,,,,0
8/set.,,,749,749,,,,,0
9/set.,3690,1329,1413,6432,,1856,476,559,2891
10/set.,4248,1475,1887,7610,,2527,735,864,4126
11/set.,3953,1273,1626,6852,,3112,850,1093,5055
12/set.,3827,1307,1523,6657,,2893,785,878,4556
13/set.,3553,1148,1272,5973,,2020,526,526,3072
14/set.,,,1580,1580,,,,756,756
15/set.,,,1109,1109,,,,,0
16/set.,3602,1294,1431,6327,,2754,707,812,4273
17/set.,2609,826,988,4423,,2991,872,1008,4871
18/set.,4077,1345,1632,7054,,1724,425,515,2664
19/set.,3658,1231,1428,6317,,2621,684,825,4130
20/set.,3605,1172,1300,6077,,1637,356,429,2422
21/set.,,,1759,1759,,,,760,760
22/set.,,,1372,1372,,,,,0
23/set.,3602,1289,1398,6289,,3194,897,1078,5169
24/set.,2609,800,686,4095,,2034,578,468,3080
25/set.,4077,1105,1123,6305,,1222,323,310,1855
26/set.,3658,1278,1531,6467,,2629,732,801,4162
27/set.,3605,1337,1673,6615,,1759,419,470,2648
28/set.,,,1974,1974,,,,667,667
29/set.,,,1274,1274,,,,,0
30/set.,3407,1296,1417,6120,,2738,799,830,4367
